,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,hours,transactions,price,messaging,special_hours
0,2OGQfIsT33WC7sCKdqKuuw,carmelo-s-taco-place-chicago,Carmelo’s Taco Place,https://s3-media2.fl.yelpcdn.com/bphoto/PHK-ap1OBl6y5PpVTkJpwA/o.jpg,True,False,https://www.yelp.com/biz/carmelo-s-taco-place-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17739126808,(773) 912-6808,11,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'address1': '2746 W 59th St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60629', 'country': 'US', 'state': 'IL', 'display_address': ['2746 W 59th St', 'Chicago, IL 60629'], 'cross_streets': 'California Ave & Fairfield Ave'}","{'latitude': 41.78663, 'longitude': -87.69294}","['https://s3-media2.fl.yelpcdn.com/bphoto/PHK-ap1OBl6y5PpVTkJpwA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/JwbbsDMGH94bwNZu5KaPrg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/fBYU21GJxIVHsTUz3GTkvA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",,,
1,YULX9j3fdcLtUNYHax19JA,maggie-gyros-and-chicken-chicago,Maggie Gyros & Chicken,https://s3-media4.fl.yelpcdn.com/bphoto/OqmhFLa8VMHCbgObjik6uw/o.jpg,False,False,https://www.yelp.com/biz/maggie-gyros-and-chicken-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17739241110,(773) 924-1110,5,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",2.5,"{'address1': '349 E 47th St', 'address2': None, 'address3': None, 'city': 'Chicago', 'zip_code': '60653', 'country': 'US', 'state': 'IL', 'display_address': ['349 E 47th St', 'Chicago, IL 60653'], 'cross_streets': ''}","{'latitude': 41.8092351, 'longitude': -87.6178277}","['https://s3-media4.fl.yelpcdn.com/bphoto/OqmhFLa8VMHCbgObjik6uw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/o7eu4RBcF0Bb94qMMSzgJw/o.jpg']",,"['pickup', 'delivery']",,,
2,6hhWuqvuEIEescMsh807pw,morenas-kitchen-chicago,Morena's Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/s0KpssnrEhvdwfXzcWc2hw/o.jpg,True,False,https://www.yelp.com/biz/morenas-kitchen-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17736227200,(773) 622-7200,41,"[{'alias': 'dominican', 'title': 'Dominican'}]",4.5,"{'address1': '5058 W Armitage Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60639', 'country': 'US', 'state': 'IL', 'display_address': ['5058 W Armitage Ave', 'Chicago, IL 60639'], 'cross_streets': 'Leclaire Ave & Lawler Ave'}","{'latitude': 41.916978, 'longitude': -87.753176}","['https://s3-media3.fl.yelpcdn.com/bphoto/s0KpssnrEhvdwfXzcWc2hw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/8t3gFcGBpwKDzrwaG7uTzQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/ENI_hpS0qh1tMBdRiUGucQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['pickup', 'delivery']",$,,
3,VA1mmPgB4HcOpyw_-IA6DQ,northern-trust-chicago,Northern Trust,https://s3-media4.fl.yelpcdn.com/bphoto/XT0ycwpwl_ChIiFj_L0bWA/o.jpg,True,False,https://www.yelp.com/biz/northern-trust-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+13126306000,(312) 630-6000,8,"[{'alias': 'banks', 'title': 'Banks & Credit Unions'}]",2.5,"{'address1': '50 S La Salle St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60603', 'country': 'US', 'state': 'IL', 'display_address': ['50 S La Salle St', 'Chicago, IL 60603'], 'cross_streets': 'Monroe St & Arcade Pl'}","{'latitude': 41.881284, 'longitude': -87.632567}","['https://s3-media4.fl.yelpcdn.com/bphoto/XT0ycwpwl_ChIiFj_L0bWA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/vQtSvQzzRymuIdb6jdn6nA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/6ZE-OCiM8kA21WdIhVELuw/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,"{'url': 'https://www.yelp.com/raq/VA1mmPgB4HcOpyw_-IA6DQ?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw#popup%3Araq', 'use_case_text': 'Message the Business'}",
4,YHToK3BYKGJudH_UNUCeVw,deli-and-more-chicago,Deli & More,https://s3-media3.fl.yelpcdn.com/bphoto/zwSHW4giyRZFhuzCQFzTsw/o.jpg,True,False,https://www.yelp.com/biz/deli-and-more-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17738573354,(773) 857-3354,9,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'address1': '330 W Diversey Pkwy', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60657', 'country': 'US', 'state': 'IL', 'display_address': ['330 W Diversey Pkwy', 'Chicago, IL 60657'], 'cross_streets': ''}","{'latitude': 41.9333267211914, 'longitude': -87.6386184692383}","['https://s3-media3.fl.yelpcdn.com/bphoto/zwSHW4giyRZFhuzCQFzTsw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/NoD6F-gVRQO_Nob9gYgnAw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/caHurr-DncPrKKtSF-LoXA/o.jpg']",,"['pickup', 'delivery']",$$,"{'url': 'https://www.yelp.com/raq/YHToK3BYKGJudH_UNUCeVw?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw#popup%3Araq', 'use_case_text': 'Message the Business'}",
5,7dXOwnUaSbMFosj__CZg3A,windy-city-playhouse-south-chicago,Windy City Playhouse South,https://s3-media2.fl.yelpcdn.com/bphoto/j1ThAl-ClMnlO0F4t2uDAQ/o.jpg,True,False,https://www.yelp.com/biz/windy-city-playhouse-south-chicago?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17738918985,(773) 891-8985,2,"[{'alias': 'theater', 'title': 'Performing Arts'}]",5.0,"{'address1': '2229 S Michigan Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['2229 S Michigan Ave', 'Chicago, IL 60616'], 'cross_streets': 'Cermak Rd & 23rd St'}","{'latitude': 41.8521189628114, 'longitude': -87.6235043495729}","['https://s3-media2.fl.yelpcdn.com/bphoto/j1ThAl-ClMnlO0F4t2uDAQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/exwyoaGRe2-DgGdB667hZg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/WJ02l08fVgej1X_TGDG_PQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],,,
6,frS8eDV3w7dmi4zMzUr7Ig,the-scout-waterhouse-kitchen-chicago-3,The Scout Waterhouse + Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/aDk3K5ZQQdGF3jT0NDVm4Q/o.jpg,True,True,https://www.yelp.com/biz/the-scout-waterhouse-kitchen-chicago-3?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+13127050595,(312) 705-0595,700,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.0,"{'address1': '1301 S Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['1301 S Wabash Ave', 'Chicago, IL 60605'], 'cross_streets': '13th St & 14th St'}","{'latitude': 41.8657449359089, 'longitude': -87.6255132110611}","['https://s3-media3.fl.yelpcdn.com/bphoto/aDk3K5ZQQdGF3jT0NDVm4Q/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/KU6dcPHI4fcdx1mgeHbFnw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/uyIiE3xhZjTnvQ9Sz2H_ow/o.jpg']","[{'open': [{'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1400', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],$$,,
7,ZIqeTQDb26J1dnPeHGRiLA,the-bongo-room-chicago-3,The Bongo Room,https://s3-media4.fl.yelpcdn.com/bphoto/_55bETlAd0GGZMqGcnubdw/o.jpg,False,True,https://www.yelp.com/biz/the-bongo-room-chicago-3?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+13122910100,(312) 291-0100,1462,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'address1': '1152 S Wabash Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60605', 'country': 'US', 'state': 'IL', 'display_address': ['1152 S Wabash Ave', 'Chicago, IL 60605'], 'cross_streets': '11th St & Roosevelt Rd'}","{'latitude': 41.8677, 'longitude': -87.62647}","['https://s3-media4.fl.yelpcdn.com/bphoto/_55bETlAd0GGZMqGcnubdw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/FsTe82swkUaOqdLVyEYOzw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/1lVzz_APMSDIo_oPNRg8PA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",['delivery'],$$,,
8,NXx9LS6e2o-I0rZ8qeH6FA,manolos-tamales-chicago-2,Manolo's Tamales,https://s3-media3.fl.yelpcdn.com/bphoto/ldFoBUZJfaMhQWqb0aU0Cw/o.jpg,False,False,https://www.yelp.com/biz/manolos-tamales-chicago-2?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+17734367029,(773) 436-7029,34,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.0,"{'address1': '5341 S Kedzie Ave', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60632', 'country': 'US', 'state': 'IL', 'display_address': ['5341 S Kedzie Ave', 'Chicago, IL 60632'], 'cross_streets': '53rd St & 54th St'}","{'latitude': 41.79594, 'longitude': -87.70326}","['https://s3-media3.fl.yelpcdn.com/bphoto/ldFoBUZJfaMhQWqb0aU0Cw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/LpbzeTANuPC4NDEiDgtwYQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/uZJ9hpPBqIzSx6tOJsRoRg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2130', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",['delivery'],$,,
9,62WVGGEshua9QCDSnmlI6g,la-luna-chicago-2,La Luna,https://s3-media2.fl.yelpcdn.com/bphoto/edNYNQVnaU3N8HPkS9G6CQ/o.jpg,True,False,https://www.yelp.com/biz/la-luna-chicago-2?adjust_creative=GHmORxIUWUa6KDN77-TJIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=GHmORxIUWUa6KDN77-TJIw,+13122488940,(312) 248-8940,109,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'address1': '1726 S Racine Ave', 'address2': '', 'address3': None, 'city': 'Chicago', 'zip_code': '60608', 'country': 'US', 'state': 'IL', 'display_address': ['1726 S Racine Ave', 'Chicago, IL 60608'], 'cross_streets': '18th St & 17th St'}","{'latitude': 41.8582587517409, 'longitude': -87.6566233333333}","['https://s3-media2.fl.yelpcdn.com/bphoto/edNYNQVnaU3N8HPkS9G6CQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/HdBcKl2Mub4hqcLJH65_eQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/T0KfJvyzcf_4lRBYomYMdg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]","['delivery', 'pickup']",$$,,
